,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.14140262603759765,0.01237409148773937,0.015591955184936524,0.0009735263672609137,,100,"{'class_weight': None, 'n_estimators': 100}",0.9649122807017544,0.9649122807017544,1.0,1.0,0.9824561403508771,0.982456140350877,0.01569170510526168,1
2,1.2788742542266847,0.0726225896845798,0.11915349960327148,0.008042143160167355,,1000,"{'class_weight': None, 'n_estimators': 1000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9649122807017544,0.9754385964912281,0.021052631578947382,2
3,12.7577392578125,0.14889636331421433,1.2113523006439209,0.03528653093690555,,10000,"{'class_weight': None, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9649122807017544,0.9754385964912281,0.021052631578947382,2
5,0.12670321464538575,0.004599614317670593,0.014715290069580078,0.0007451227404175338,balanced,100,"{'class_weight': 'balanced', 'n_estimators': 100}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,4
7,12.828287315368652,0.10923109405957597,1.1881019592285156,0.04510612760649689,balanced,10000,"{'class_weight': 'balanced', 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,4
11,15.588425493240356,1.0201856794714106,1.0609396934509276,0.15559847469734023,balanced_subsample,10000,"{'class_weight': 'balanced_subsample', 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,4
9,0.1722813606262207,0.009691893627078141,0.014669227600097656,0.0005020246678559985,balanced_subsample,100,"{'class_weight': 'balanced_subsample', 'n_estimators': 100}",0.9649122807017544,0.9473684210526315,0.9824561403508771,1.0,0.9649122807017544,0.9719298245614034,0.01789129653892206,7
6,1.2561238765716554,0.027443455048049938,0.1158557415008545,0.004599611292357479,balanced,1000,"{'class_weight': 'balanced', 'n_estimators': 1000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9298245614035088,0.968421052631579,0.0280701754385965,8
10,1.5998136043548583,0.01900003510677094,0.12413220405578614,0.0031592533885723894,balanced_subsample,1000,"{'class_weight': 'balanced_subsample', 'n_estimators': 1000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9298245614035088,0.968421052631579,0.0280701754385965,8
4,0.01770620346069336,0.001102638407533822,0.004890012741088867,0.0011163004375866362,balanced,10,"{'class_weight': 'balanced', 'n_estimators': 10}",0.9824561403508771,0.9298245614035088,0.9824561403508771,1.0,0.9122807017543859,0.9614035087719298,0.03401880601695669,10
8,0.02001638412475586,0.0009961687504182306,0.0042762279510498045,0.00028695228199483806,balanced_subsample,10,"{'class_weight': 'balanced_subsample', 'n_estimators': 10}",0.9473684210526315,0.9298245614035088,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.025784102555612403,10
0,0.018407201766967772,0.001761516057814819,0.00474696159362793,0.0005561347789872546,,10,"{'class_weight': None, 'n_estimators': 10}",0.9473684210526315,0.9473684210526315,1.0,1.0,0.8947368421052632,0.9578947368421051,0.03938586722919939,12
