,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,3.0554248809814455,0.059651279078773614,0.0064948081970214845,0.00024344511914066805,gini,19,best,"{'criterion': 'gini', 'max_depth': 19, 'splitter': 'best'}",0.2733333333333333,0.34,0.37333333333333335,0.2733333333333333,0.32,0.31599999999999995,0.03878143885933065,1
12,2.9151822566986083,0.05007094635529305,0.007145595550537109,0.0012340958863257905,gini,17,best,"{'criterion': 'gini', 'max_depth': 17, 'splitter': 'best'}",0.25333333333333335,0.31333333333333335,0.31333333333333335,0.3466666666666667,0.29333333333333333,0.304,0.030579586509812573,2
15,2.5976022243499757,0.1282164911230737,0.00641021728515625,0.00040414363091314793,gini,19,random,"{'criterion': 'gini', 'max_depth': 19, 'splitter': 'random'}",0.30666666666666664,0.26666666666666666,0.28,0.30666666666666664,0.3,0.292,0.015999999999999986,3
13,2.50679874420166,0.10427067146841801,0.007030677795410156,0.0005005312974182878,gini,17,random,"{'criterion': 'gini', 'max_depth': 17, 'splitter': 'random'}",0.3,0.26,0.3,0.3333333333333333,0.24666666666666667,0.288,0.031098410105841592,4
10,2.70727858543396,0.050615037702340514,0.00672149658203125,0.0006489073817943848,gini,15,best,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'best'}",0.26,0.32,0.24666666666666667,0.30666666666666664,0.29333333333333333,0.2853333333333333,0.027776888874666207,5
11,2.3708763122558594,0.060821813006549694,0.006986808776855469,0.0006483657329282609,gini,15,random,"{'criterion': 'gini', 'max_depth': 15, 'splitter': 'random'}",0.3,0.26666666666666666,0.24666666666666667,0.3,0.24666666666666667,0.27199999999999996,0.02399999999999999,6
8,2.3782381057739257,0.02125377775649654,0.007719087600708008,0.0006252161898089898,gini,13,best,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'best'}",0.22,0.2733333333333333,0.21333333333333335,0.2733333333333333,0.26,0.248,0.026127890589687223,7
9,2.0990901470184324,0.04005456465505282,0.007810354232788086,0.0018309867307350837,gini,13,random,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'random'}",0.23333333333333334,0.25333333333333335,0.22666666666666666,0.24,0.17333333333333334,0.22533333333333333,0.02745501370929867,8
6,2.079433012008667,0.04614320771531346,0.007580804824829102,0.0007448625521686744,gini,11,best,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best'}",0.2,0.26666666666666666,0.2,0.25333333333333335,0.16666666666666666,0.21733333333333338,0.037142368739157654,9
7,1.8766313076019288,0.05734732980644621,0.006541776657104492,0.00042480845173930096,gini,11,random,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random'}",0.21333333333333335,0.23333333333333334,0.24,0.2,0.18,0.21333333333333332,0.021908902300206645,10
