,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9968541622161865,0.012496848710221815,2.373240518569946,0.01079914846343487,1,uniform,passthrough,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'uniform', 'scaler': 'passthrough'}",0.3,0.28,0.23333333333333334,0.3,0.22,0.2666666666666667,0.03373096170846271,1
3,0.9227606296539307,0.037773234082549435,2.3078407287597655,0.0424716705614687,1,distance,passthrough,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'distance', 'scaler': 'passthrough'}",0.3,0.28,0.23333333333333334,0.3,0.22,0.2666666666666667,0.03373096170846271,1
9,0.8827816009521484,0.021174224547784157,2.4376339435577394,0.04676704358965886,3,distance,passthrough,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'distance', 'scaler': 'passthrough'}",0.29333333333333333,0.28,0.23333333333333334,0.29333333333333333,0.21333333333333335,0.2626666666666667,0.033092463055975616,3
15,0.9772236824035645,0.03078785355642873,2.536109781265259,0.015020209946304297,5,distance,passthrough,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'distance', 'scaler': 'passthrough'}",0.2733333333333333,0.26,0.22,0.29333333333333333,0.20666666666666667,0.2506666666666667,0.032550814975289874,4
21,1.0103189468383789,0.008590301359780185,3.297370958328247,0.062017057836734,11,distance,passthrough,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'distance', 'scaler': 'passthrough'}",0.26666666666666666,0.23333333333333334,0.21333333333333335,0.2866666666666667,0.22,0.244,0.028158282775923832,5
18,0.8827019691467285,0.018508523863551493,2.5155892372131348,0.03617517026082556,11,uniform,passthrough,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform', 'scaler': 'passthrough'}",0.20666666666666667,0.22666666666666666,0.20666666666666667,0.21333333333333335,0.19333333333333333,0.20933333333333332,0.01083205120618128,6
6,0.9323169708251953,0.007873886178198373,2.3884682655334473,0.035512288096411104,3,uniform,passthrough,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform', 'scaler': 'passthrough'}",0.24,0.22,0.19333333333333333,0.19333333333333333,0.18,0.2053333333333333,0.021664102412362562,7
12,0.9224675178527832,0.0119010830232712,2.556853437423706,0.04007734659107449,5,uniform,passthrough,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'uniform', 'scaler': 'passthrough'}",0.2,0.20666666666666667,0.18666666666666668,0.18666666666666668,0.16,0.188,0.016,8
27,1.0705743789672852,0.07282082607490102,3.2745639801025392,0.15148271741653643,52,distance,passthrough,"{'kneighborsclassifier__n_neighbors': 52, 'kneighborsclassifier__weights': 'distance', 'scaler': 'passthrough'}",0.17333333333333334,0.18666666666666668,0.18,0.19333333333333333,0.14,0.1746666666666667,0.01857118436957882,9
24,1.2850713729858398,0.040133942183829006,5.59809103012085,0.2679387968512245,52,uniform,passthrough,"{'kneighborsclassifier__n_neighbors': 52, 'kneighborsclassifier__weights': 'uniform', 'scaler': 'passthrough'}",0.14666666666666667,0.16666666666666666,0.15333333333333332,0.14666666666666667,0.14666666666666667,0.152,0.0077746025264603955,10
