,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
316,1.2506830215454101,0.024277896271067405,0.0010035514831542968,8.640362989772526e-06,0.0001,"(1, 4)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,1.0,1.0,0.9649122807017544,0.9894736842105264,0.014035087719298251,1
22,1.3864298343658448,0.014065117181962369,0.000997638702392578,1.0488900161597605e-05,1e-06,"(1, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,0.9824561403508771,1.0,0.9824561403508771,0.9894736842105264,0.008594700851870828,1
313,1.369748878479004,0.00868166159389625,0.0010190010070800781,2.812733019155437e-05,0.0001,"(1, 3)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,0.9824561403508771,1.0,0.9824561403508771,0.9894736842105264,0.008594700851870828,1
19,1.3742331504821776,0.016511681591678415,0.0009922981262207031,3.319074355181666e-05,1e-06,"(1, 3)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,0.9824561403508771,1.0,0.9824561403508771,0.9894736842105264,0.008594700851870828,1
28,1.2484385013580321,0.02811863832388755,0.0009851932525634765,6.591286766439074e-05,1e-06,"(1, 4)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,1.0,1.0,0.9649122807017544,0.9894736842105264,0.014035087719298251,1
178,1.2765949726104737,0.030751726308926183,0.0010280609130859375,7.295515022426693e-05,1e-05,"(1, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,1.0,1.0,0.9649122807017544,0.9894736842105264,0.014035087719298251,1
175,1.273106288909912,0.024428079036461624,0.001056814193725586,7.002408462871124e-05,1e-05,"(1, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,1.0,1.0,0.9649122807017544,0.9894736842105264,0.014035087719298251,1
172,1.2777387619018554,0.015432338575060772,0.0010308265686035157,2.3273659189336643e-05,1e-05,"(1, 4)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,1.0,1.0,0.9649122807017544,0.9894736842105264,0.014035087719298251,1
169,1.3829241275787354,0.015198922001237606,0.001007223129272461,2.786320727866586e-05,1e-05,"(1, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,0.9824561403508771,1.0,0.9824561403508771,0.9894736842105264,0.008594700851870828,1
166,1.3981513977050781,0.01702215135567353,0.0010274887084960938,2.2184256254151457e-05,1e-05,"(1, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9824561403508771,0.9824561403508771,1.0,0.9824561403508771,0.9894736842105264,0.008594700851870828,1
