,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,23.432919549942017,0.13889263038937896,2.367400884628296,0.006963181201415797,True,balanced,10,auto,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
155,19.990523862838746,0.3643064769335618,2.3485591888427733,0.02568705758039033,False,balanced,,sqrt,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
156,19.737505292892457,0.2007929406654684,2.3735838413238524,0.04628131733945002,False,balanced,,sqrt,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
157,19.80482931137085,0.26131762789446045,2.450403833389282,0.030788340384473974,False,balanced,,sqrt,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
72,31.328700923919676,0.3077871124256256,2.342179870605469,0.01747607958729874,True,balanced_subsample,20,auto,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
164,20.03838415145874,0.32130200648756807,2.4150209426879883,0.05755134190903418,False,balanced_subsample,10,auto,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
63,29.730846118927,0.15332007094212483,2.339465856552124,0.05941736520004819,True,balanced_subsample,10,sqrt,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
81,29.65568141937256,0.2028867806639354,2.3860056400299072,0.008369993606318236,True,balanced_subsample,20,sqrt,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
166,20.76192789077759,0.38566530830420725,2.472772789001465,0.1377954930245735,False,balanced_subsample,10,auto,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
173,19.839346981048585,0.2816800365905014,2.4250386714935304,0.0467962405675049,False,balanced_subsample,10,sqrt,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
174,20.096060132980348,0.2705089878429516,2.4689924240112306,0.032950066784025143,False,balanced_subsample,10,sqrt,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
175,20.19994020462036,0.1972392801681994,2.4490803241729737,0.048999141206972734,False,balanced_subsample,10,sqrt,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
45,23.64906072616577,0.2434159674882851,2.3263435840606688,0.0691702082405085,True,balanced,,sqrt,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
182,19.848097467422484,0.2738472416193986,2.413104009628296,0.04037565094700083,False,balanced_subsample,20,auto,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
183,19.77903084754944,0.21425740688735745,2.380150032043457,0.03706908627987509,False,balanced_subsample,20,auto,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
54,30.19017939567566,0.71740306932337,2.395617055892944,0.026432814022884613,True,balanced_subsample,10,auto,1,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9719298245614036,0.023797649063597454,1
184,20.693355131149293,0.5825426951156935,2.9568178176879885,0.28509265812134643,False,balanced_subsample,20,auto,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
148,19.781992959976197,0.19978639587461247,2.428165149688721,0.07408270732498577,False,balanced,,auto,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
146,19.767052364349365,0.34178632156787303,2.4095088958740236,0.02037372260389317,False,balanced,,auto,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
121,19.995567560195923,0.2564678870533441,2.431592655181885,0.028097238674447293,False,balanced,10,sqrt,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
120,19.963913106918334,0.2690946226237823,2.496108341217041,0.07308137679689183,False,balanced,10,sqrt,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
119,20.396340799331664,0.701856720703289,2.4676970481872558,0.04067699951143704,False,balanced,10,sqrt,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
128,19.85383129119873,0.2334266831305716,2.414598560333252,0.056658861453559466,False,balanced,20,auto,1,10,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9298245614035088,1.0,1.0,0.9649122807017544,0.9719298245614036,0.026257244819466254,1
129,19.75633087158203,0.2279747181699567,2.393664741516113,0.0496961592070048,False,balanced,20,auto,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
112,19.621025705337523,0.21874511019720788,2.454932165145874,0.06810551539054512,False,balanced,10,auto,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
147,19.892567205429078,0.21987253148347174,2.360257863998413,0.031219222827054777,False,balanced,,auto,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
111,19.726019620895386,0.3421775176664631,2.4187195777893065,0.012439780673667947,False,balanced,10,auto,2,2,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
130,19.703627395629884,0.30275592062892864,2.464993190765381,0.03748179795925157,False,balanced,20,auto,2,5,10000,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10000}",0.9824561403508771,0.9298245614035088,1.0,1.0,0.9473684210526315,0.9719298245614036,0.02850539791100337,1
