,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
177,0.2619758129119873,0.20310325130280643,0.012954616546630859,0.0003809295226815469,1e-05,"(1, 4)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
315,0.2922919273376465,0.24027559803953455,0.012536859512329102,0.0006917926244258731,0.0001,"(1, 4)",1000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
318,0.29207653999328614,0.2390845243803388,0.012511730194091797,0.00032716127198534784,0.0001,"(1, 4)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
321,0.2964954376220703,0.24677257984381265,0.012227916717529297,0.001081889602172118,0.0001,"(1, 4)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
171,0.2749509811401367,0.21377498386856483,0.013625192642211913,0.0007422613816962664,1e-05,"(1, 4)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
174,0.27892436981201174,0.21403946161247236,0.013404655456542968,0.0004341803660744202,1e-05,"(1, 4)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9710144927536232,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8565217391304347,0.131589095221057,1
27,0.25884146690368653,0.1868936975897376,0.013298225402832032,0.00029959323846955564,1e-06,"(1, 4)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9637681159420289,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8550724637681159,0.13035424244503685,7
30,0.2510927677154541,0.18190912509607735,0.013174915313720703,0.0005047731716209552,1e-06,"(1, 4)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9637681159420289,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8550724637681159,0.13035424244503685,7
33,0.2500192165374756,0.18329376250124121,0.012698936462402343,0.0004174305963337934,1e-06,"(1, 4)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6231884057971014,0.9637681159420289,0.9710144927536232,0.8043478260869565,0.9130434782608695,0.8550724637681159,0.13035424244503685,7
21,0.4410836696624756,0.21947544011427103,0.012964677810668946,0.0004323859175761408,1e-06,"(1, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9492753623188406,0.7898550724637681,0.9057971014492754,0.8521739130434781,0.11716743728352311,10
18,0.4409504413604736,0.21577824495535378,0.013465261459350586,0.0009160546880139124,1e-06,"(1, 3)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9492753623188406,0.7898550724637681,0.9057971014492754,0.8521739130434781,0.11716743728352311,10
24,0.4357719421386719,0.2177360979280278,0.013366508483886718,0.0009422316531892518,1e-06,"(1, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9492753623188406,0.7898550724637681,0.9057971014492754,0.8521739130434781,0.11716743728352311,10
312,0.3662997245788574,0.14560292040366,0.01200098991394043,0.0001769796642089899,0.0001,"(1, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9130434782608695,0.8115942028985508,0.9057971014492754,0.8492753623188406,0.11012585647253836,13
306,0.37305893898010256,0.14988538418227837,0.012756252288818359,0.0006043715934691084,0.0001,"(1, 3)",1000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9130434782608695,0.8115942028985508,0.9057971014492754,0.8492753623188406,0.11012585647253836,13
309,0.3686503887176514,0.14384327861826368,0.012912607192993164,0.0009419521966966438,0.0001,"(1, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.6521739130434783,0.9637681159420289,0.9130434782608695,0.8115942028985508,0.9057971014492754,0.8492753623188406,0.11012585647253836,13
