,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,0.07620477676391602,0.0029805846158560286,0.004052400588989258,0.00011282565712871814,entropy,8,best,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}",0.9315960912052117,0.9119565217391304,0.9097826086956522,0.925,0.8456521739130435,0.9047974791106075,0.030661304589769494,1
10,0.07841792106628417,0.003163141006435577,0.00409245491027832,0.00018237029696166522,gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.9098805646036916,0.9228260869565217,0.9358695652173913,0.9391304347826087,0.8043478260869565,0.902410895529434,0.05011336892649901,2
4,0.05623183250427246,0.0031776859534108173,0.004247903823852539,0.00026695169459356276,gini,7,best,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}",0.9261672095548317,0.9163043478260869,0.9304347826086956,0.9260869565217391,0.8065217391304348,0.9011030071283577,0.04751728535701217,3
2,0.04910044670104981,0.0020584356250883725,0.004853010177612305,0.00031639153364579776,gini,6,best,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}",0.9218241042345277,0.9141304347826087,0.9260869565217391,0.9282608695652174,0.8076086956521739,0.8995822121512533,0.046239479122486354,4
6,0.06744976043701172,0.0024386441701524405,0.004001760482788086,0.0002357652651901111,gini,8,best,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}",0.9294245385450597,0.9130434782608695,0.9326086956521739,0.925,0.7891304347826087,0.8978414294481425,0.05475952188108335,5
12,0.08687047958374024,0.0014917711405435664,0.004226016998291016,0.00018411604589713287,gini,11,best,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best'}",0.9033659066232356,0.9217391304347826,0.9358695652173913,0.9228260869565217,0.8032608695652174,0.8974123117594297,0.04820073397618374,6
28,0.07803401947021485,0.002872388535163875,0.00406031608581543,0.000737119232670727,entropy,9,best,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'best'}",0.9359391965255157,0.9054347826086957,0.9260869565217391,0.9282608695652174,0.7891304347826087,0.8969704480007554,0.05485715691314216,7
8,0.07514152526855469,0.0030272152780844385,0.004204607009887696,0.0003160318478300558,gini,9,best,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'best'}",0.9207383279044516,0.9163043478260869,0.9228260869565217,0.9304347826086956,0.7880434782608695,0.8956694047113251,0.0540068675681987,8
18,0.10376458168029785,0.0033424206994272327,0.004778480529785157,0.0002753847747393332,gini,14,best,"{'criterion': 'gini', 'max_depth': 14, 'splitter': 'best'}",0.9098805646036916,0.9119565217391304,0.925,0.9315217391304348,0.7989130434782609,0.8954543737903036,0.048937640313831625,9
14,0.0962179183959961,0.0024270275447683446,0.004716682434082031,0.00021198714956846605,gini,12,best,"{'criterion': 'gini', 'max_depth': 12, 'splitter': 'best'}",0.9120521172638436,0.9217391304347826,0.9239130434782609,0.9358695652173913,0.783695652173913,0.8954539017136384,0.05639090166859354,10
34,0.08570804595947265,0.0030067481317946894,0.004225015640258789,0.0002658445203174308,entropy,12,best,"{'criterion': 'entropy', 'max_depth': 12, 'splitter': 'best'}",0.9196525515743756,0.9152173913043479,0.9173913043478261,0.9315217391304348,0.7858695652173913,0.8939305103148751,0.05432390248260365,11
36,0.0858534812927246,0.0034212146593823184,0.004265117645263672,0.00026176902508073357,entropy,13,best,"{'criterion': 'entropy', 'max_depth': 13, 'splitter': 'best'}",0.9261672095548317,0.9119565217391304,0.9217391304347826,0.9271739130434783,0.7815217391304348,0.8937117027805316,0.0563525997611728,12
38,0.07241854667663575,0.003686246155688875,0.002787017822265625,0.00016298713980009204,entropy,14,best,"{'criterion': 'entropy', 'max_depth': 14, 'splitter': 'best'}",0.9185667752442996,0.9141304347826087,0.9304347826086956,0.9260869565217391,0.7782608695652173,0.8934959637445121,0.05789663731872013,13
30,0.08047771453857422,0.0042461733034476765,0.004736948013305664,0.0010320340892458358,entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.9131378935939196,0.9097826086956522,0.9217391304347826,0.9271739130434783,0.7902173913043479,0.8924101874144361,0.05146554171430661,14
32,0.08609523773193359,0.0031672744568082604,0.0047037601470947266,0.0005776215486081767,entropy,11,best,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'best'}",0.9185667752442996,0.9130434782608695,0.9184782608695652,0.9304347826086956,0.7793478260869565,0.8919742246140773,0.05659940159141836,15
22,0.06181788444519043,0.0028613684127773774,0.004254674911499024,6.922907037881994e-05,entropy,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}",0.9261672095548317,0.9097826086956522,0.9108695652173913,0.9282608695652174,0.7847826086956522,0.8919725723457489,0.05412965133941674,16
24,0.06984672546386719,0.002400966880240802,0.004323101043701172,0.00030409276538659146,entropy,7,best,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}",0.9315960912052117,0.9054347826086957,0.9097826086956522,0.9271739130434783,0.7847826086956522,0.8917540008497381,0.05440043303777498,17
16,0.09500737190246582,0.0016857520028329823,0.00411534309387207,0.00032039855714921533,gini,13,best,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'best'}",0.9011943539630836,0.9097826086956522,0.9239130434782609,0.9369565217391305,0.783695652173913,0.891108436010008,0.055074759798005864,18
0,0.041586780548095705,0.0024745153480670197,0.003692340850830078,0.000661134357018961,gini,5,best,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",0.9033659066232356,0.9065217391304348,0.9065217391304348,0.9239130434782609,0.8108695652173913,0.8902383987159513,0.04033861486157798,19
20,0.05659017562866211,0.001919134778567891,0.003951311111450195,0.0002479369358435017,entropy,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}",0.9011943539630836,0.9021739130434783,0.9130434782608695,0.9293478260869565,0.783695652173913,0.8858910447056602,0.05209408378356373,20
