,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,0.05581555366516113,0.007250327393766541,0.5084916591644287,0.05348235195563519,13,distance,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'distance'}",0.8925081433224755,0.9054347826086957,0.933695652173913,0.9369565217391305,0.8271739130434783,0.8991538025775385,0.039716255976540535,1
15,0.0541569709777832,0.007456569628733213,0.4980787754058838,0.038685753284455025,15,distance,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'distance'}",0.8979370249728555,0.9021739130434783,0.9380434782608695,0.9326086956521739,0.8239130434782609,0.8989352310815276,0.04075088053698196,2
31,0.0539649486541748,0.005872613640798697,0.5615389347076416,0.031337756634986474,31,distance,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'distance'}",0.8935939196525515,0.9141304347826087,0.9260869565217391,0.9239130434782609,0.8358695652173913,0.8987187839305104,0.033459154483778154,3
17,0.060139036178588866,0.015159045538336916,0.5293027400970459,0.06504751714219732,17,distance,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'distance'}",0.8990228013029316,0.9010869565217391,0.9347826086956522,0.9369565217391305,0.8206521739130435,0.8985002124344994,0.04210126233148155,4
33,0.056061315536499026,0.010515339478438544,0.5849879264831543,0.02646437048784438,33,distance,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'distance'}",0.8935939196525515,0.9163043478260869,0.925,0.9239130434782609,0.8315217391304348,0.8980666100174668,0.035140533574328704,5
27,0.05880651473999023,0.012701035602652315,0.5630592823028564,0.06819745655519419,27,distance,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'distance'}",0.8979370249728555,0.9141304347826087,0.925,0.9184782608695652,0.8336956521739131,0.8978482745597886,0.03329711130613086,6
35,0.056369352340698245,0.004970745047549581,0.5711665630340577,0.07726163888661913,35,distance,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'distance'}",0.8903365906623235,0.9163043478260869,0.9260869565217391,0.9239130434782609,0.8315217391304348,0.8976325355237689,0.03541983613319227,7
25,0.05390400886535644,0.005899747010309516,0.557279109954834,0.036488221882166855,25,distance,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'distance'}",0.9001085776330076,0.9141304347826087,0.9260869565217391,0.9217391304347826,0.8260869565217391,0.8976304111787755,0.03684525290776673,8
21,0.05749344825744629,0.011439373262518655,0.5728892803192138,0.05933675405771612,21,distance,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'distance'}",0.8925081433224755,0.9119565217391304,0.9282608695652174,0.933695652173913,0.8206521739130435,0.8974146721427558,0.04097759865258362,9
23,0.054746150970458984,0.007585430104197848,0.5385876655578613,0.0295435653417104,23,distance,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'distance'}",0.8946796959826275,0.9119565217391304,0.9271739130434783,0.9239130434782609,0.8293478260869566,0.8974142000660909,0.03588820730426972,10
19,0.05124964714050293,0.0055383039587779724,0.5235688209533691,0.03641835442684852,19,distance,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'distance'}",0.8979370249728555,0.9097826086956522,0.9282608695652174,0.9326086956521739,0.8184782608695652,0.8974134919510928,0.041410875168217724,11
11,0.05422210693359375,0.005859466078759417,0.49494061470031736,0.03738633124449406,11,distance,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'distance'}",0.8946796959826275,0.9032608695652173,0.933695652173913,0.9304347826086956,0.8228260869565217,0.8969794174573951,0.0400270037174441,12
29,0.05698504447937012,0.006686431495893737,0.5527527332305908,0.04585602702563272,29,distance,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'distance'}",0.8946796959826275,0.9119565217391304,0.925,0.9206521739130434,0.8326086956521739,0.8969794174573951,0.03381935730166392,12
37,0.05613350868225098,0.009207062150388358,0.5686169147491456,0.04165928111348018,37,distance,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'distance'}",0.8892508143322475,0.9141304347826087,0.9260869565217391,0.9228260869565217,0.8293478260869566,0.8963284237360147,0.03589178469596296,14
9,0.0540712833404541,0.006542434268902269,0.49563164710998536,0.03691261703590391,9,distance,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'distance'}",0.8957654723127035,0.907608695652174,0.9315217391304348,0.9293478260869565,0.8173913043478261,0.8963270075060189,0.04168328354664159,15
39,0.056998825073242186,0.00795199332876879,0.5667978286743164,0.05131790953425592,39,distance,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.8881650380021715,0.9119565217391304,0.9239130434782609,0.9206521739130434,0.8326086956521739,0.895459094556956,0.03382265354404981,16
43,0.05496339797973633,0.006472140471763206,0.5934839248657227,0.044230776149032376,43,distance,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'distance'}",0.8881650380021715,0.907608695652174,0.9282608695652174,0.9195652173913044,0.8336956521739131,0.895459094556956,0.033682637915098255,16
7,0.054160547256469724,0.007172888428362419,0.4601318836212158,0.030127490169791056,7,distance,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'distance'}",0.8925081433224755,0.9043478260869565,0.9282608695652174,0.9260869565217391,0.8260869565217391,0.8954581504036255,0.037186646971049085,18
45,0.05460658073425293,0.006767197478028356,0.5935120105743408,0.05616981886219264,45,distance,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'distance'}",0.8849077090119435,0.9097826086956522,0.925,0.9228260869565217,0.8336956521739131,0.8952424113676061,0.033919316675235116,19
51,0.05453310012817383,0.006148376346755726,0.4359630584716797,0.09914408968063827,51,distance,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'distance'}",0.8849077090119435,0.907608695652174,0.9184782608695652,0.9271739130434783,0.8380434782608696,0.8952424113676061,0.031909166424993717,19
41,0.05697531700134277,0.010427765231447717,0.5841421127319336,0.053087922569290076,41,distance,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'distance'}",0.8870792616720955,0.907608695652174,0.9260869565217391,0.9206521739130434,0.8336956521739131,0.8950245479865929,0.03347945711424076,21
49,0.054698944091796875,0.0063175920324345,0.5838352680206299,0.0501757233085845,49,distance,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'distance'}",0.8849077090119435,0.907608695652174,0.9195652173913044,0.9271739130434783,0.8336956521739131,0.8945902374545627,0.0336357775742192,22
47,0.05658512115478516,0.005141031813177424,0.5849688529968262,0.05210305435925226,47,distance,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'distance'}",0.8849077090119435,0.908695652173913,0.9217391304347826,0.9239130434782609,0.8326086956521739,0.8943728461502147,0.03385580793278194,23
5,0.052945947647094725,0.005597787177797857,0.4543772220611572,0.04437710417904985,5,distance,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'distance'}",0.8957654723127035,0.9043478260869565,0.9206521739130434,0.9260869565217391,0.808695652173913,0.8911096162016712,0.04262667173462579,24
3,0.05676145553588867,0.009937412627483497,0.4040562152862549,0.03804398752347607,3,distance,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'distance'}",0.8946796959826275,0.9010869565217391,0.9206521739130434,0.9228260869565217,0.7978260869565217,0.8874142000660907,0.04609669478201884,25
14,0.05560646057128906,0.00814803971495545,0.5325637340545655,0.044727041737829994,15,uniform,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'uniform'}",0.8827361563517915,0.8902173913043478,0.9304347826086956,0.9173913043478261,0.8152173913043478,0.8871994051834017,0.03997821353864075,26
8,0.05446619987487793,0.006486766495902866,0.5293487071990967,0.04663356401325635,9,uniform,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'uniform'}",0.8870792616720955,0.9010869565217391,0.9260869565217391,0.9108695652173913,0.808695652173913,0.8867636784213756,0.041054321549098445,27
6,0.05648727416992187,0.00923151410103231,0.5005643844604493,0.044878839456189375,7,uniform,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'uniform'}",0.8794788273615635,0.8989130434782608,0.925,0.908695652173913,0.8173913043478261,0.8858957654723125,0.037289311624002404,28
4,0.05395584106445313,0.008280788736447732,0.4712203502655029,0.032133393636247,5,uniform,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'uniform'}",0.8870792616720955,0.9054347826086957,0.9152173913043479,0.9195652173913044,0.7989130434782609,0.885241939290941,0.04458793574496851,29
12,0.054944515228271484,0.0061520721256229025,0.5204016685485839,0.04072405199185334,13,uniform,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'uniform'}",0.8729641693811075,0.8945652173913043,0.9228260869565217,0.9173913043478261,0.816304347826087,0.8848102251805694,0.03856235628022285,30
16,0.055019378662109375,0.010470658428170805,0.5491797447204589,0.041161423524505816,17,uniform,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'uniform'}",0.8816503800217155,0.8880434782608696,0.9239130434782609,0.9163043478260869,0.8130434782608695,0.8845909455695604,0.03922135707147219,31
10,0.05316944122314453,0.0074013904635962385,0.5281678199768066,0.049544012428374175,11,uniform,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform'}",0.8773072747014115,0.8923913043478261,0.9239130434782609,0.9097826086956522,0.8141304347826087,0.8835049332011519,0.03808813778441146,32
2,0.06103363037109375,0.012381778131548062,0.4400895595550537,0.029787643605910186,3,uniform,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform'}",0.8903365906623235,0.8989130434782608,0.9152173913043479,0.9184782608695652,0.7934782608695652,0.8832847094368125,0.04608135043961814,33
18,0.05730600357055664,0.01104742320927678,0.589669942855835,0.06056968463571007,19,uniform,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'uniform'}",0.8805646036916395,0.8978260869565218,0.9130434782608695,0.9097826086956522,0.8108695652173913,0.8824172685644148,0.03754134911394357,34
22,0.05637435913085938,0.009625190725908549,0.5701069355010986,0.04473433587264619,23,uniform,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'uniform'}",0.8707926167209555,0.8967391304347826,0.9065217391304348,0.9108695652173913,0.8184782608695652,0.8806802624746257,0.03407027354816762,35
20,0.055554676055908206,0.00648300488362852,0.5858769893646241,0.061546797672952264,21,uniform,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'uniform'}",0.8729641693811075,0.8956521739130435,0.9108695652173913,0.9119565217391304,0.8119565217391305,0.8806797903979607,0.03713824755689967,36
1,0.06430253982543946,0.017028845627368033,0.3459864616394043,0.03028587717893984,1,distance,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'distance'}",0.8870792616720955,0.8891304347826087,0.9119565217391304,0.9239130434782609,0.7880434782608695,0.880024547986593,0.048039680123143136,37
0,0.05927219390869141,0.008855456835039187,0.3650242328643799,0.03601174535840376,1,uniform,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'uniform'}",0.8870792616720955,0.8891304347826087,0.9119565217391304,0.9239130434782609,0.7880434782608695,0.880024547986593,0.048039680123143136,37
30,0.05480241775512695,0.007292193840042282,0.5834442138671875,0.049583958805986685,31,uniform,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'uniform'}",0.8686210640608035,0.8923913043478261,0.908695652173913,0.9032608695652173,0.8239130434782609,0.8793763867252042,0.03095588905993168,39
24,0.06271309852600097,0.01887973021855826,0.5848182201385498,0.02945885197853152,25,uniform,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.8707926167209555,0.8967391304347826,0.9043478260869565,0.9043478260869565,0.8173913043478261,0.8787237407354954,0.03305241972260615,40
32,0.05588297843933106,0.007581705320404269,0.5710299491882325,0.04034764766923461,33,uniform,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.8664495114006515,0.8923913043478261,0.908695652173913,0.9032608695652173,0.8206521739130435,0.8782899022801303,0.03227758033535941,41
26,0.055977821350097656,0.00740325863579342,0.6121325969696045,0.03880396223833128,27,uniform,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'uniform'}",0.8697068403908795,0.8956521739130435,0.9043478260869565,0.9,0.8217391304347826,0.8782891941651325,0.030735812849429757,42
34,0.0622403621673584,0.013709306904748053,0.5867828845977783,0.039230053136262225,35,uniform,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.8664495114006515,0.8923913043478261,0.9021739130434783,0.9032608695652173,0.8217391304347826,0.8772029457583912,0.030741249153715528,43
28,0.058618688583374025,0.00795901825421484,0.595683479309082,0.04526993531438801,29,uniform,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'uniform'}",0.8642779587404995,0.8891304347826087,0.9065217391304348,0.9021739130434783,0.8228260869565217,0.8769860265307086,0.03081904813320078,44
36,0.052561473846435544,0.009155288509267084,0.5876498699188233,0.0493373538988938,37,uniform,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'uniform'}",0.8642779587404995,0.8847826086956522,0.9032608695652173,0.9010869565217391,0.8228260869565217,0.8752468960959259,0.02970414134315123,45
38,0.05489063262939453,0.00601269319983105,0.583237600326538,0.033717788248580405,39,uniform,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.8631921824104235,0.8826086956521739,0.8967391304347826,0.9010869565217391,0.8282608695652174,0.8743775669168674,0.026582118416215255,46
40,0.05485057830810547,0.008550190916257416,0.6131942272186279,0.03422770199724804,41,uniform,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.8610206297502715,0.8815217391304347,0.8978260869565218,0.9021739130434783,0.8239130434782609,0.8732910824717935,0.028610077947355036,47
48,0.058401870727539065,0.015311586533966085,0.6016679286956788,0.038479972416646045,49,uniform,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'uniform'}",0.8555917480998915,0.8771739130434782,0.8934782608695652,0.9043478260869565,0.8304347826086956,0.8722053061417174,0.026575004018284644,48
42,0.05479826927185059,0.006114292923848108,0.6265769481658936,0.05411774580943901,43,uniform,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'uniform'}",0.8588490770901195,0.8793478260869565,0.8956521739130435,0.8978260869565218,0.8271739130434783,0.871769815418024,0.026315252485998326,49
50,0.055375862121582034,0.010339849310818288,0.6108185768127441,0.04196917451416047,51,uniform,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'uniform'}",0.8501628664495114,0.8782608695652174,0.8923913043478261,0.9032608695652173,0.8336956521739131,0.871554312420337,0.02598205543709837,50
46,0.05331144332885742,0.007652718548174929,0.6199519634246826,0.07270747480495761,47,uniform,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'uniform'}",0.8545059717698155,0.875,0.8945652173913043,0.9032608695652173,0.8304347826086956,0.8715533682670065,0.026563666625188085,51
44,0.0581568717956543,0.01024767632022887,0.6181113719940186,0.035388115078154786,45,uniform,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'uniform'}",0.8545059717698155,0.8771739130434782,0.8913043478260869,0.9010869565217391,0.8304347826086956,0.8709011943539631,0.025585737089775754,52
