,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
397,18.66826286315918,1.4661853622307712,0.005816602706909179,0.000396079974150157,0.0001,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9478260869565217,0.9445652173913044,0.9456521739130435,0.8467391304347827,0.923492895246188,0.03873695453927461,1
253,18.67974305152893,1.7183376651917839,0.0059681892395019535,0.0004616574148796804,1e-05,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9478260869565217,0.9445652173913044,0.9456521739130435,0.8467391304347827,0.923492895246188,0.03873695453927461,1
109,18.855430173873902,1.7026580979770964,0.00576624870300293,0.00038561882010975653,1e-06,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9478260869565217,0.9445652173913044,0.9456521739130435,0.8467391304347827,0.923492895246188,0.03873695453927461,1
259,19.23021306991577,2.1657132193159128,0.005887413024902343,0.0003812383188267445,1e-05,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9467391304347826,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9230581126374924,0.03848497983746159,4
256,19.71448497772217,2.31554282169835,0.005738115310668946,0.00035443699535728755,1e-05,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9467391304347826,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9230581126374924,0.03848497983746159,4
403,19.267307186126708,2.0462399218896907,0.005641746520996094,0.00047259800559995574,0.0001,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9467391304347826,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9230581126374924,0.03848497983746159,4
400,19.292498540878295,2.2872793733852546,0.005602073669433594,0.00019765497826720283,0.0001,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9467391304347826,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9230581126374924,0.03848497983746159,4
112,18.964989328384398,1.8509826652004293,0.006123733520507812,0.0003626167228973237,1e-06,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9456521739130435,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9228407213331445,0.038353443317545484,8
115,19.180824995040894,1.8938166977885043,0.00559234619140625,0.0002731600689382352,1e-06,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9326818675352877,0.9456521739130435,0.9434782608695652,0.9456521739130435,0.8467391304347827,0.9228407213331445,0.038353443317545484,8
202,9.426705646514893,0.7240532424008244,0.005986595153808593,0.00045733147324721675,1e-05,"(2, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
199,9.218065643310547,0.49818397678501547,0.005722236633300781,9.718491105388211e-05,1e-05,"(2, 3)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
205,9.9247257232666,0.6629505983406196,0.0060021400451660155,0.00024503312850420085,1e-05,"(2, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
58,9.755371618270875,0.8560735917667195,0.005782938003540039,0.00015735413809989926,1e-06,"(2, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
61,9.673589420318603,0.6876555033793513,0.006214952468872071,0.0004164729588822882,1e-06,"(2, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
346,9.29149284362793,0.8398681630083655,0.005661964416503906,6.0973098617912265e-05,0.0001,"(2, 3)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
343,9.402651309967041,0.7553371763486297,0.005851650238037109,0.00047507558159650635,0.0001,"(2, 3)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
55,9.528786420822144,0.783928213130786,0.006192255020141602,0.0006576250082710784,1e-06,"(2, 3)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
349,9.332997035980224,0.7238459825153313,0.005745029449462891,0.0005613490708907357,0.0001,"(2, 3)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9315960912052117,0.9358695652173913,0.9434782608695652,0.9467391304347826,0.8543478260869565,0.9224061747627814,0.03444933037334567,10
72,3.992908811569214,0.3486701386037762,0.006377649307250976,0.0009327311498450326,1e-06,"(3, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9229098805646037,0.9380434782608695,0.9478260869565217,0.9532608695652174,0.8489130434782609,0.9221906717650945,0.038063029952458464,19
360,3.6266845703125,0.36207994650737696,0.005441188812255859,0.00047923759413918927,0.0001,"(3, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9250814332247557,0.9423913043478261,0.9445652173913044,0.9510869565217391,0.8467391304347827,0.9219728083840817,0.038586877018311413,20
104,10.194616270065307,0.8438626821197869,0.005716514587402344,0.00027066532170428887,1e-06,"(3, 4)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9218241042345277,0.9423913043478261,0.9347826086956522,0.9565217391304348,0.8521739130434782,0.9215387338903838,0.0364570991098367,21
348,3.83318829536438,1.439226603988454,0.005568218231201172,0.0003010847916574209,0.0001,"(2, 3)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9218241042345277,0.9467391304347826,0.9478260869565217,0.9456521739130435,0.8456521739130435,0.9215387338903838,0.039157104919472614,21
101,10.226003694534302,1.1095437976907672,0.005709552764892578,0.00019821683054322228,1e-06,"(3, 4)",1000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9218241042345277,0.9423913043478261,0.9347826086956522,0.9565217391304348,0.8521739130434782,0.9215387338903838,0.0364570991098367,21
345,3.816115951538086,1.4548885240321077,0.005571842193603516,0.0002531766431211923,0.0001,"(2, 3)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9218241042345277,0.9467391304347826,0.9478260869565217,0.9456521739130435,0.8456521739130435,0.9215387338903838,0.039157104919472614,21
107,10.532351636886597,1.226288573731452,0.005935573577880859,0.00044839816677783105,1e-06,"(3, 4)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9218241042345277,0.9423913043478261,0.9347826086956522,0.9565217391304348,0.8521739130434782,0.9215387338903838,0.0364570991098367,21
78,6.474127101898193,2.3644596220939493,0.00576314926147461,0.0003099485397028414,1e-06,"(3, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9229098805646037,0.9380434782608695,0.9467391304347826,0.9532608695652174,0.8467391304347827,0.9215384978520511,0.03875724754040568,26
75,6.357628202438354,2.4403898775012927,0.005656528472900391,0.0004913841133609328,1e-06,"(3, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9229098805646037,0.9380434782608695,0.9467391304347826,0.9532608695652174,0.8467391304347827,0.9215384978520511,0.03875724754040568,26
366,5.036720037460327,2.4427720658499106,0.0055446624755859375,0.0003914777021204343,0.0001,"(3, 1)",100000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'lbfgs'}",0.9250814332247557,0.9423913043478261,0.9467391304347826,0.9467391304347826,0.8467391304347827,0.9215380257753859,0.03824259682567149,28
363,4.903959035873413,2.4691075622499357,0.005486536026000977,0.0002749542620890754,0.0001,"(3, 1)",10000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'lbfgs'}",0.9250814332247557,0.9423913043478261,0.9467391304347826,0.9467391304347826,0.8467391304347827,0.9215380257753859,0.03824259682567149,28
389,9.485517597198486,1.623598237636589,0.0056937217712402345,0.0002968261097862499,0.0001,"(3, 4)",1000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'adam'}",0.9250814332247557,0.9402173913043478,0.9347826086956522,0.9576086956521739,0.85,0.9215380257753859,0.0372979242501473,28
392,9.692882013320922,1.5844991420751064,0.005828094482421875,0.0002353026578518507,0.0001,"(3, 4)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9250814332247557,0.9402173913043478,0.9347826086956522,0.9576086956521739,0.85,0.9215380257753859,0.0372979242501473,28
395,9.614846658706664,1.4832192601604148,0.005829572677612305,0.0003180988509326215,0.0001,"(3, 4)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (3, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9250814332247557,0.9402173913043478,0.9347826086956522,0.9576086956521739,0.85,0.9215380257753859,0.0372979242501473,28
64,8.23351068496704,0.2636445134413881,0.005666017532348633,9.540140023856785e-05,1e-06,"(2, 4)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
70,8.111553955078126,0.31234879522661324,0.005859804153442383,0.0006066984023006439,1e-06,"(2, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
214,8.115069055557251,0.16460923249282225,0.005431270599365235,0.000546461678680054,1e-05,"(2, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
211,8.42420768737793,0.25368462321310364,0.00577850341796875,0.0003403172600518643,1e-05,"(2, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
208,8.468883848190307,0.27440021813820714,0.005935764312744141,0.00031997488035596347,1e-05,"(2, 4)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
67,8.210523700714111,0.31458714710029556,0.006168270111083984,0.00025379424701048965,1e-06,"(2, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9554347826086956,0.842391304347826,0.9215368455837227,0.04037847731778776,33
342,3.36310133934021,0.9283375004801317,0.0056651592254638675,0.00024287337300162823,0.0001,"(2, 3)",1000,lbfgs,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9218241042345277,0.9467391304347826,0.9478260869565217,0.9456521739130435,0.8445652173913043,0.921321342586036,0.03957855553330994,39
352,8.216379117965698,0.3130777711080221,0.005506038665771484,0.00021701246214975473,0.0001,"(2, 4)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9543478260869566,0.842391304347826,0.9213194542793749,0.04019791329075188,40
358,8.163653707504272,0.3123965702406754,0.005590915679931641,0.000543235442813182,0.0001,"(2, 4)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9543478260869566,0.842391304347826,0.9213194542793749,0.04019791329075188,40
355,7.9190277576446535,0.5107928285402804,0.005948972702026367,0.0003682780845466481,0.0001,"(2, 4)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9305103148751357,0.9391304347826087,0.9402173913043478,0.9543478260869566,0.842391304347826,0.9213194542793749,0.04019791329075188,40
325,7.932331085205078,0.5514900517190013,0.006215524673461914,0.0006147737489966488,0.0001,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
181,7.820121955871582,0.35911827816356534,0.005635499954223633,0.0003744721243785502,1e-05,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
331,7.826338529586792,0.5022266816524998,0.005643081665039062,0.00042857890347030534,0.0001,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
184,7.870163345336914,0.5072052637898004,0.0057204246520996095,0.0004173176106456718,1e-05,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
187,7.748175954818725,0.4531859509270422,0.005915546417236328,0.0008946453606172004,1e-05,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
328,7.824674224853515,0.5194980610492849,0.005570793151855468,0.00035229130052311585,0.0001,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9478260869565217,0.8565217391304348,0.9208839635556814,0.03271131170216465,43
54,3.979582357406616,0.7353766844458357,0.005800199508666992,0.00013300683408309398,1e-06,"(2, 3)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9283387622149837,0.9423913043478261,0.9456521739130435,0.9478260869565217,0.8391304347826087,0.9206677524429967,0.041330104571065895,49
37,8.270312786102295,0.5149571580393615,0.006402826309204102,0.0006696412781888986,1e-06,"(2, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9467391304347826,0.8565217391304348,0.9206665722513335,0.03253467354219158,50
43,8.116336297988891,0.3726279949971093,0.006041336059570313,0.0007146976423486934,1e-06,"(2, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9467391304347826,0.8565217391304348,0.9206665722513335,0.03253467354219158,50
40,8.184913301467896,0.4663965063739822,0.006031942367553711,0.00028455755922979296,1e-06,"(2, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.9337676438653637,0.9304347826086956,0.9358695652173913,0.9467391304347826,0.8565217391304348,0.9206665722513335,0.03253467354219158,50
36,2.689109182357788,0.8482966422005225,0.00555877685546875,0.0001253475470553484,1e-06,"(2, 1)",1000,lbfgs,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'lbfgs'}",0.9305103148751357,0.9423913043478261,0.9423913043478261,0.9489130434782609,0.8380434782608696,0.9204498890619839,0.04162939172623198,53
203,7.866588735580445,1.1838455162040584,0.006029272079467773,0.0004024921300853078,1e-05,"(2, 3)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",0.9196525515743756,0.9380434782608695,0.941304347826087,0.9510869565217391,0.8510869565217392,0.920234858140962,0.036040792721423666,54
206,8.08178777694702,0.9856134298800829,0.006067800521850586,0.00022694304993842602,1e-05,"(2, 3)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",0.9196525515743756,0.9380434782608695,0.941304347826087,0.9510869565217391,0.8510869565217392,0.920234858140962,0.036040792721423666,54
