,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,0.07204856872558593,0.002711889218525812,0.005328941345214844,0.00023337213356665757,entropy,8,best,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}",0.9138888888888889,0.9272727272727272,0.9198813056379822,0.9712460063897763,0.8038674033149171,0.9072312663008584,0.05547608982556454,1
2,0.05428752899169922,0.0017893380826385693,0.005665397644042969,0.0010609693376996416,gini,6,best,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}",0.9142857142857143,0.9351851851851852,0.9202279202279202,0.9837133550488599,0.7338308457711443,0.8974486041037648,0.08536839364951061,2
17,0.025052213668823244,0.0007672039238214748,0.005636978149414063,0.0003386934223230226,gini,13,random,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'random'}",0.9309309309309309,0.9179331306990881,0.9294117647058824,0.9435215946843853,0.7367088607594937,0.8917012563559561,0.07791938294933466,3
10,0.08070807456970215,0.003573266771397188,0.0055754661560058595,0.00052918745471124,gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.9183673469387755,0.9337349397590361,0.9350282485875706,0.9441176470588235,0.7231503579952268,0.8908797080678864,0.0842717601902515,4
20,0.05586986541748047,0.0012907515102722035,0.005577707290649414,0.0004079299834016238,entropy,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}",0.9115853658536586,0.9358974358974359,0.9409937888198758,0.9567901234567902,0.6945107398568019,0.8879554907769125,0.0978048469883711,5
0,0.04461016654968262,0.002953596724055096,0.005762434005737305,0.0010111741431196477,gini,5,best,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",0.9080118694362018,0.9209726443768997,0.9109792284866469,0.970873786407767,0.7270531400966184,0.8875781337608266,0.08341076845117636,6
12,0.08948135375976562,0.0020071372153221984,0.006308174133300782,0.0005605908140374951,gini,11,best,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'best'}",0.9285714285714286,0.9451219512195121,0.923943661971831,0.9250720461095101,0.7132867132867133,0.887199160231799,0.08728890811395135,7
4,0.0563596248626709,0.002711584720382977,0.005869674682617188,0.0005353756885911799,gini,7,best,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}",0.9126760563380282,0.9447852760736196,0.923728813559322,0.9457831325301205,0.7051886792452831,0.8864323915492747,0.09149492431093112,8
22,0.0626023292541504,0.0012278163903625288,0.005359077453613281,0.0003733490494117437,entropy,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}",0.9219653179190751,0.9216867469879518,0.9117647058823529,0.9773462783171522,0.6990291262135923,0.8863584350640249,0.09647017767287278,9
5,0.018155288696289063,0.0010892914986680418,0.005314302444458008,0.0004972536763530256,gini,7,random,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}",0.8856209150326797,0.9266666666666666,0.9329268292682927,0.9429657794676806,0.7432835820895523,0.8862927545049745,0.07411976286243067,10
27,0.01704273223876953,0.0013980343550012114,0.005325460433959961,0.0003684687860577582,entropy,8,random,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}",0.8205980066445183,0.9097472924187726,0.875,0.9568106312292359,0.8646864686468647,0.8853684797878782,0.04567006165317822,11
9,0.02102527618408203,0.002017097328543209,0.005887937545776367,0.00018746356655541068,gini,9,random,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'random'}",0.9184952978056427,0.9435736677115988,0.8948948948948949,0.9358108108108109,0.7325,0.8850549342445895,0.0780880168472146,12
28,0.07779297828674317,0.0011554707804694564,0.005366325378417969,0.0003525382267647008,entropy,9,best,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'best'}",0.9221902017291066,0.9126506024096386,0.9219653179190751,0.9712460063897763,0.6937354988399071,0.8843575254575008,0.09750130337758726,13
30,0.08087744712829589,0.0035427290443884717,0.005513954162597656,0.0002011646161228086,entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.9065155807365439,0.9261538461538461,0.9176136363636364,0.9742765273311897,0.696969696969697,0.8843058575109828,0.09648159675871208,14
6,0.06780004501342773,0.0013653474618211627,0.0059754371643066405,0.00027826679617395564,gini,8,best,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}",0.9124293785310734,0.9333333333333333,0.9232954545454546,0.9571865443425076,0.6902050113895216,0.883289944428378,0.09766922450611969,15
16,0.09901022911071777,0.0024265190430757416,0.005835103988647461,0.0008776195915257885,gini,13,best,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'best'}",0.9142011834319527,0.9478527607361963,0.9030470914127424,0.9431137724550899,0.7069767441860465,0.8830383104444056,0.08964276343849246,16
18,0.10264067649841309,0.0049116268726625235,0.005523395538330078,0.00028133583876394184,gini,14,best,"{'criterion': 'gini', 'max_depth': 14, 'splitter': 'best'}",0.9151515151515152,0.9363636363636364,0.9171270718232044,0.9380530973451328,0.6986301369863014,0.8810650915339581,0.09170651580431734,17
34,0.08637828826904297,0.005210009239784625,0.005719184875488281,0.0004448578149953049,entropy,12,best,"{'criterion': 'entropy', 'max_depth': 12, 'splitter': 'best'}",0.9187675070028011,0.9198813056379822,0.9142857142857143,0.9598765432098766,0.6905311778290993,0.8806684495930946,0.09648358507889218,18
