,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,0.051641082763671874,0.006450934099429679,0.4308276653289795,0.13843891564279714,51,distance,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'distance'}",0.9269102990033222,0.9186746987951807,0.9186046511627907,0.9510703363914373,0.7950138504155124,0.9020547671536487,0.0548237213911286,1
45,0.05534839630126953,0.00783396626615439,0.57437162399292,0.026071228906587005,45,distance,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'distance'}",0.9269102990033222,0.9191616766467066,0.92,0.9504643962848297,0.7894736842105263,0.9012020112290771,0.057003213354641334,2
43,0.05528755187988281,0.0070790209731163315,0.5721205711364746,0.0348558366321828,43,distance,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'distance'}",0.9248366013071896,0.9161676646706587,0.9230769230769231,0.95,0.7910863509749304,0.9010335080059402,0.056156276183624766,3
49,0.054388904571533205,0.0069295882538876865,0.5747184753417969,0.03514075609402634,49,distance,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'distance'}",0.9240924092409241,0.9186746987951807,0.9188405797101449,0.9510703363914373,0.7910863509749304,0.9007528750225235,0.05612786135428665,4
31,0.05502586364746094,0.006716911115258878,0.5567129611968994,0.041829234006533336,31,distance,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'distance'}",0.9206349206349206,0.9226190476190477,0.9178470254957507,0.9506172839506173,0.790633608815427,0.9004703773031526,0.05617463531717149,5
41,0.05290842056274414,0.007063033051461487,0.5662044525146485,0.048153487525379915,41,distance,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'distance'}",0.9273927392739274,0.9161676646706587,0.9178470254957507,0.9501557632398754,0.7894736842105263,0.9002073753781478,0.05667755095328271,6
47,0.05479464530944824,0.007192318434769689,0.5803032398223877,0.02295377905013288,47,distance,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'distance'}",0.921311475409836,0.918918918918919,0.9193083573487032,0.9506172839506173,0.7905027932960894,0.9001317657848329,0.0561009412400469,7
35,0.0695028305053711,0.023442617434306735,0.6400988101959229,0.05587361591312139,35,distance,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'distance'}",0.9253246753246753,0.9230769230769231,0.9178470254957507,0.9506172839506173,0.782016348773842,0.8997764513243617,0.059957320485801636,8
37,0.055853080749511716,0.008491596550252027,0.5684725761413574,0.04502521983818308,37,distance,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'distance'}",0.9223300970873787,0.9201183431952663,0.9226361031518625,0.9532710280373832,0.7777777777777778,0.8992266698499337,0.06194975055680041,9
39,0.054107046127319335,0.004624474646229661,0.5636834144592285,0.047763348669359655,39,distance,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.9248366013071896,0.9171597633136095,0.9173789173789174,0.9501557632398754,0.7857142857142857,0.8990490661907755,0.05794073646607774,10
33,0.057585287094116214,0.009642667258233815,0.606510066986084,0.06511706028986183,33,distance,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'distance'}",0.9206349206349206,0.9230769230769231,0.9176136363636364,0.9478527607361963,0.7804878048780488,0.897933209137945,0.05969971169924312,11
29,0.054926395416259766,0.008051051031366092,0.5427911281585693,0.023679025941828205,29,distance,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'distance'}",0.9182389937106918,0.9221556886227545,0.9152542372881356,0.9473684210526315,0.7810810810810811,0.896819684351059,0.05897648978516635,12
27,0.053568553924560544,0.006162115582195416,0.5390531063079834,0.045419946597817056,27,distance,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'distance'}",0.9190031152647975,0.9226190476190477,0.9152542372881356,0.9470404984423676,0.7786666666666666,0.896516713056203,0.05996557561138343,13
25,0.056818675994873044,0.007958286303832824,0.5431363105773925,0.03799683106927126,25,distance,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'distance'}",0.9195046439628483,0.9226190476190477,0.9131652661064426,0.9475308641975309,0.7686170212765957,0.894287368632493,0.06391068149669062,14
23,0.056658601760864256,0.007774119883701716,0.5332717895507812,0.04090749758143057,23,distance,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'distance'}",0.915625,0.9196428571428571,0.9134078212290503,0.9478527607361963,0.7733333333333333,0.8939723544882874,0.061583148237631724,15
17,0.05550317764282227,0.005436569806052838,0.5206071853637695,0.05670086140054467,17,distance,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'distance'}",0.9192546583850931,0.9,0.9173553719008265,0.9550898203592815,0.7558441558441559,0.8895088012978712,0.06919164727596364,16
19,0.054633474349975585,0.0072537192293533745,0.5126698017120361,0.04515588780029377,19,distance,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'distance'}",0.9164086687306502,0.9191616766467066,0.9090909090909091,0.9518072289156626,0.7506426735218509,0.889422231381156,0.07092420304152258,17
21,0.053533506393432614,0.005922852527712502,0.5204264640808105,0.032204277611290216,21,distance,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'distance'}",0.9074074074074074,0.9196428571428571,0.9113573407202216,0.9492537313432836,0.7571801566579635,0.8889682986543466,0.06750503127923277,18
13,0.05392913818359375,0.0069055637218780426,0.5103100299835205,0.04352963122839069,13,distance,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'distance'}",0.9099378881987578,0.908284023668639,0.9081081081081082,0.9497041420118343,0.7650130548302873,0.8882094433635253,0.06360820553589039,19
15,0.05441503524780274,0.008224411590958403,0.5114481925964356,0.0379810387847086,15,distance,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'distance'}",0.9113149847094801,0.9050445103857567,0.9180327868852459,0.9437869822485208,0.7617801047120419,0.887991873788209,0.06446661331125024,20
50,0.05298662185668945,0.007107848267982867,0.6048346042633057,0.034272732521134136,51,uniform,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'uniform'}",0.9061371841155235,0.8934169278996865,0.9,0.9361022364217252,0.7927170868347339,0.8856746870543338,0.0487194495947267,21
48,0.05647568702697754,0.006517135884297497,0.6106666564941406,0.057969965117178654,49,uniform,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'uniform'}",0.9049295774647887,0.8930817610062893,0.9003021148036254,0.9363057324840764,0.7893258426966292,0.8847890056910819,0.049964502608946096,22
46,0.054938220977783205,0.008003268450626972,0.6018171310424805,0.040429297666680734,47,uniform,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'uniform'}",0.9045936395759717,0.8924050632911392,0.9030303030303031,0.9333333333333333,0.7893258426966292,0.8845376363854754,0.04950237183773014,23
30,0.05334033966064453,0.006962026278897261,0.575218391418457,0.03333811354768991,31,uniform,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'uniform'}",0.9060402684563759,0.9,0.9043478260869565,0.9361022364217252,0.7747252747252747,0.8842431211380666,0.05623365637172688,24
38,0.053119993209838866,0.006950706624406438,0.6031806468963623,0.01882278714129277,39,uniform,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.9128919860627178,0.8899082568807339,0.9011976047904192,0.9329073482428115,0.7833333333333333,0.8840477058620031,0.05232801750347426,25
44,0.06206765174865723,0.006073549575582989,0.6189717292785645,0.0510885546527519,45,uniform,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'uniform'}",0.9074733096085409,0.890625,0.9021406727828746,0.9301587301587302,0.7893258426966292,0.8839447110493548,0.049026074786022375,26
