,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
397,19.273854875564574,1.601369940935985,0.00810084342956543,0.001036958929559009,0.0001,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.9436619718309859,0.9216216216216216,0.9642857142857143,0.787012987012987,0.9121070194222382,0.0639867638023754,1
253,19.403655433654784,2.0050917696172843,0.007165336608886718,0.00022345525385758709,1e-05,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.9436619718309859,0.9216216216216216,0.9642857142857143,0.787012987012987,0.9121070194222382,0.0639867638023754,1
109,19.006159830093384,2.034716022676884,0.007639122009277344,0.00018356926363900967,1e-06,"(4, 1)",1000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 1000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.9436619718309859,0.9216216216216216,0.9642857142857143,0.787012987012987,0.9121070194222382,0.0639867638023754,1
400,20.634841871261596,2.285867903407942,0.008634805679321289,0.0007003091614790699,0.0001,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943502824858757,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115783589649237,0.06390463739978425,4
403,21.766050243377684,2.1950828148226247,0.007854557037353516,0.0003944552091558815,0.0001,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943502824858757,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115783589649237,0.06390463739978425,4
256,20.153365468978883,2.0920063443195684,0.0076350212097167965,0.0001582423174888708,1e-05,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943502824858757,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115783589649237,0.06390463739978425,4
259,19.796237421035766,1.6524186282153779,0.007814455032348632,0.0005487959933112695,1e-05,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943502824858757,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115783589649237,0.06390463739978425,4
115,20.572785758972167,2.358106661741986,0.008670234680175781,0.0006311093826777529,1e-06,"(4, 1)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943342776203966,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115463492339654,0.06388867655978574,8
112,19.724541091918944,1.9668408775115862,0.007785654067993164,0.0003088753906837785,1e-06,"(4, 1)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 1), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",0.943952802359882,0.943342776203966,0.9191374663072777,0.9642857142857143,0.787012987012987,0.9115463492339654,0.06388867655978574,8
133,16.989921665191652,2.9497598072013043,0.0075434684753417965,0.00033990237691243285,1e-06,"(4, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (4, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",0.9425981873111783,0.9318181818181818,0.9128065395095368,0.95,0.8113207547169812,0.9097087326711755,0.05076164064367203,10
