,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.00074310302734375,6.1165402440782985e-06,0.0009609222412109375,0.00017346203322980306,gini,8,random,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}",0.9473684210526315,0.9473684210526315,1.0,1.0,0.95,0.9689473684210526,0.025372570090934656,1
27,0.0006303787231445312,5.0491403834436514e-05,0.0007826805114746094,0.00013835111113450507,entropy,9,random,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'random'}",0.9473684210526315,0.8947368421052632,1.0,1.0,0.95,0.958421052631579,0.039259065682045305,2
5,0.0007142066955566406,3.107559137644009e-05,0.0009013652801513672,0.00015776066400058946,gini,5,random,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.9,0.948421052631579,0.031649045007100855,3
17,0.0005306243896484375,9.986859956147557e-05,0.0008141994476318359,0.0001449693186384031,entropy,4,random,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}",0.9473684210526315,0.8421052631578947,1.0,0.9473684210526315,0.95,0.9373684210526315,0.05168624714606703,4
12,0.0028705596923828125,0.0003187043802347849,0.000927591323852539,2.6246236483414962e-05,gini,9,best,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'best'}",0.7894736842105263,0.9473684210526315,1.0,1.0,0.95,0.9373684210526315,0.07743105234359152,4
4,0.0026655673980712892,0.0004362135252379185,0.0008847713470458984,0.00019415067705186466,gini,5,best,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",0.7894736842105263,0.9473684210526315,1.0,1.0,0.95,0.9373684210526315,0.07743105234359152,4
25,0.0006684303283691406,8.619411667950771e-05,0.0008254051208496094,0.00013391986656418185,entropy,8,random,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.85,0.9278947368421052,0.06109798678286927,7
13,0.0006989002227783203,6.597892908335562e-05,0.0010225296020507813,9.73506472691827e-05,gini,9,random,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'random'}",1.0,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.85,0.9278947368421052,0.05123407799426508,7
24,0.0029381275177001952,0.0002083162111858173,0.0008111476898193359,0.00012261516820812602,entropy,8,best,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.9,0.9273684210526316,0.06266474133110408,9
22,0.0029021739959716798,0.0002867304978211082,0.0009377479553222656,0.00016325127201873257,entropy,7,best,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.9,0.9273684210526316,0.06266474133110408,9
