,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,0.0014791011810302735,3.729384842391201e-05,0.004757452011108399,9.183039383786864e-05,3,uniform,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9578947368421051,0.03938586722919939,1
3,0.0016086578369140625,4.962255321821509e-05,0.003109598159790039,0.0001231863000881153,3,distance,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'distance'}",0.9473684210526315,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9578947368421051,0.03938586722919939,1
4,0.0017694473266601563,0.0003084336151973876,0.005505704879760742,0.0002073001819892613,5,uniform,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9578947368421051,0.03938586722919939,1
5,0.0015297412872314453,0.0002478079357799292,0.002972316741943359,0.00037246364858997574,5,distance,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'distance'}",0.9473684210526315,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9578947368421051,0.03938586722919939,1
0,0.001675891876220703,0.00013180260366547601,0.00520939826965332,0.00044015387289168676,1,uniform,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.9473684210526315,0.9473684210526315,1.0,0.95,0.9478947368421051,0.03330377267275026,5
1,0.0014299869537353516,0.00022916197520993814,0.0026703357696533205,0.0002667511364829083,1,distance,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.9473684210526315,0.9473684210526315,1.0,0.95,0.9478947368421051,0.03330377267275026,5
8,0.0015094757080078125,6.464906068516643e-05,0.005062723159790039,0.00020664444526538023,9,uniform,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.95,0.9373684210526315,0.03954029467577462,7
9,0.001323843002319336,0.0003578878284403524,0.00275273323059082,0.0003463229708723988,9,distance,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.95,0.9373684210526315,0.03954029467577462,7
6,0.0015520095825195313,6.129010419134322e-05,0.004685258865356446,0.0007118950825470199,7,uniform,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'uniform'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9368421052631579,0.0613784409983716,9
7,0.0015963077545166015,0.00010040967817937971,0.0033025741577148438,0.0002559733194389189,7,distance,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'distance'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,1.0,0.9368421052631579,0.0613784409983716,9
17,0.001519489288330078,0.00047673759374661657,0.0029784679412841798,0.00048209598797459974,17,distance,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
16,0.0011312484741210938,0.00021106276696226738,0.004273557662963867,0.00047853593063241476,17,uniform,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
15,0.0009853839874267578,0.00024171378344365192,0.0021784305572509766,0.00046930062627249873,15,distance,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
14,0.0010293483734130859,0.00027978976832942,0.003718137741088867,0.0008899563200049513,15,uniform,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
10,0.0012372970581054688,0.00023157068222185885,0.004001188278198242,0.0008789987435738301,11,uniform,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
11,0.0012498855590820312,0.00014984524050640726,0.002577543258666992,0.0004393426303813811,11,distance,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
19,0.0013783931732177734,0.00017476173572377637,0.002582073211669922,0.00044632093009581536,19,distance,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
13,0.0013072490692138672,0.00013507955930960237,0.0027251243591308594,0.0007800615200288083,13,distance,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'distance'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,11
12,0.0013362884521484375,0.00015176846601234494,0.004586935043334961,0.0003910574937884064,13,uniform,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'uniform'}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.85,0.9173684210526316,0.051557460615825085,19
23,0.0008197307586669921,7.636892091792678e-05,0.001856517791748047,0.0002506883733508617,23,distance,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'distance'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9168421052631579,0.05330100589967227,20
21,0.0012674331665039062,7.654536068565258e-05,0.0026337623596191405,8.519699025331792e-05,21,distance,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'distance'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9168421052631579,0.05330100589967227,20
25,0.0011834144592285157,0.00013527312988327136,0.002720165252685547,5.9423246920547956e-05,25,distance,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'distance'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9168421052631579,0.05330100589967227,20
18,0.0012841224670410156,1.2206472443664876e-05,0.004518747329711914,0.0001537492632676755,19,uniform,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'uniform'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9168421052631579,0.05330100589967227,20
20,0.0014004707336425781,0.00024379900970660892,0.004632043838500977,0.0001800708717112886,21,uniform,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'uniform'}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9168421052631579,0.05330100589967227,20
