,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,param_mlpclassifier__hidden_layer_sizes,param_mlpclassifier__max_iter,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
112,1.1407243251800536,0.09187619439878035,0.0013569831848144532,8.640265622643352e-05,1e-05,"(1, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
208,0.9772903442382812,0.06036731856341911,0.0013222217559814454,3.1110619074621826e-05,0.0001,"(1, 3)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
205,0.937986183166504,0.0320316545654622,0.0014566421508789063,0.00023853964592793287,0.0001,"(1, 3)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
109,1.0471331596374511,0.027334701075345812,0.001317453384399414,3.981787282672356e-05,1e-05,"(1, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
13,0.9580893516540527,0.025944437672930913,0.0014204978942871094,0.00016429770094714618,1e-06,"(1, 3)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
16,0.9685663223266602,0.026120249113809706,0.0014179706573486327,0.00011796093572645291,1e-06,"(1, 3)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 3), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.95,0.99,0.020000000000000018,1
202,1.1131452083587647,0.04028954776291579,0.0013176441192626954,3.444223543765644e-05,0.0001,"(1, 2)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
214,0.8798676013946534,0.04667714659406474,0.0013196468353271484,4.7077618504076436e-05,0.0001,"(1, 4)",100000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
212,0.8488041877746582,0.06955751607330359,0.0015357494354248046,0.00025879159357637053,0.0001,"(1, 4)",10000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
211,0.9932433605194092,0.008851415930082995,0.0013408660888671875,4.0803722114937835e-05,0.0001,"(1, 4)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
199,1.148502779006958,0.030669219921267348,0.0013375282287597656,3.239546166326052e-05,0.0001,"(1, 2)",10000,sgd,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
23,0.7380490779876709,0.021143020809925507,0.0013144969940185546,2.9579512259773377e-05,1e-06,"(1, 4)",100000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
22,0.8674045085906983,0.03503091042378906,0.0014224052429199219,0.000190386513655316,1e-06,"(1, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
215,0.7683328628540039,0.02228039007369085,0.001378917694091797,5.963831903993294e-05,0.0001,"(1, 4)",100000,adam,"{'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
19,0.8762404918670654,0.010898180852699956,0.0013696670532226563,7.46377958377086e-05,1e-06,"(1, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
20,0.7444287300109863,0.023122790427842203,0.001336383819580078,2.4283795465475327e-05,1e-06,"(1, 4)",10000,adam,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
106,1.1877846717834473,0.0442274075296106,0.0014607906341552734,0.00024534719867435706,1e-05,"(1, 2)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
103,1.1513224601745606,0.031067694387108703,0.0015091896057128906,0.00023531742249919928,1e-05,"(1, 2)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
115,0.9121353626251221,0.019287691152238537,0.0013295650482177735,3.216605066148796e-05,1e-05,"(1, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
10,1.1163865566253661,0.021376142323662587,0.0013194084167480469,1.0725126684880281e-05,1e-06,"(1, 2)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
119,0.7744000434875489,0.04346763753130671,0.001339864730834961,2.8259753275750334e-05,1e-05,"(1, 4)",100000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
116,0.7943837642669678,0.05301855366238424,0.001413249969482422,0.00012539281497227388,1e-05,"(1, 4)",10000,adam,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'adam'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
7,1.1604142665863038,0.03282268060362213,0.0013265132904052735,5.700396271700184e-05,1e-06,"(1, 2)",10000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (1, 2), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
118,0.894916582107544,0.02288995520043539,0.0013641357421875,1.648753685099477e-05,1e-05,"(1, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (1, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,7
139,1.1942161083221436,0.1368251154542482,0.001774168014526367,0.0009253646126466044,1e-05,"(2, 4)",10000,sgd,"{'mlpclassifier__alpha': 1e-05, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 10000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9473684210526315,1.0,1.0,0.95,0.9794736842105263,0.025153269779681117,25
46,1.1101754188537598,0.10727560397788173,0.0013624191284179687,5.618117171662849e-05,1e-06,"(2, 4)",100000,sgd,"{'mlpclassifier__alpha': 1e-06, 'mlpclassifier__hidden_layer_sizes': (2, 4), 'mlpclassifier__max_iter': 100000, 'mlpclassifier__solver': 'sgd'}",1.0,0.9473684210526315,1.0,1.0,0.95,0.9794736842105263,0.025153269779681117,25
